query_id,category,query,rank,passage_id,source_path,heading,text_snippet,expected_source_paths,pre_labeled_relevant,relevant
nl-03,natural-language,how do I return a file download response,1,2c228254b1cafd604b79278b96dd529fef5354348752ae208de706d9a6500daa,release-notes.md#0-19-0,Release Notes,* Rename *path operation decorator* parameter `content_type` to `response_class`. PR [#183](https://github.com/tiangolo/fastapi/pull/183).  * Add docs:     * How to use the `jsonable_encoder` in [JSON compatible encoder](https://fastapi.tiangolo.com/tutorial/encoder/).     * How to [Return a Respons,advanced/custom-response.md,,
nl-03,natural-language,how do I return a file download response,2,c07f818baec7947234cc8e3213f29cefd2152cdd990b767b597450816e73e657,advanced/response-directly.md#return-a-response,Return a Response Directly,"In fact, you can return any `Response` or any sub-class of it.  /// tip  `JSONResponse` itself is a sub-class of `Response`.  ///  And when you return a `Response`, **FastAPI** will pass it directly.  It won't do any data conversion with Pydantic models, it won't convert the contents to any type, et",advanced/custom-response.md,,
nl-03,natural-language,how do I return a file download response,3,f0e0a8b44c311c8591b82dac11dc1b8f9c7b083c3a919aff770effd5b950963d,advanced/custom-response.md#return-an-htmlresponse-directly,"Custom Response - HTML, Stream, File, others","For example, it could be something like:  {* ../../docs_src/custom_response/tutorial004.py hl[7,21,23] *}  In this example, the function `generate_html_response()` already generates and returns a `Response` instead of returning the HTML in a `str`.  By returning the result of calling `generate_html_",advanced/custom-response.md,1,1
nl-03,natural-language,how do I return a file download response,4,38c98e03880f1c1124cbde76baf00677c34d4ee6b93a4e4545f0e13c29be0aac,how-to/custom-docs-ui-assets.md#download-the-files,Custom Docs UI Static Assets (Self-Hosting),"Download the static files needed for the docs and put them on that `static/` directory.  You can probably right-click each link and select an option similar to `Save link as...`.  **Swagger UI** uses the files:  * <a href=""https://cdn.jsdelivr.net/npm/swagger-ui-dist@5/swagger-ui-bundle.js"" class=""e",advanced/custom-response.md,,
nl-03,natural-language,how do I return a file download response,5,21bee9e3e04ccedb43a289f946341d2a4b424a1f239097d6d902837b122b28b1,advanced/response-cookies.md#return-a-response-directly,Response Cookies,"You can also create cookies when returning a `Response` directly in your code.  To do that, you can create a response as described in [Return a Response Directly](response-directly.md){.internal-link target=_blank}.  Then set Cookies in it, and then return it:  {* ../../docs_src/response_cookies/tut",advanced/custom-response.md,,
nl-04,natural-language,how do I validate request body with Pydantic,1,5390072d10929735ed0bec19a754a545aafcb38876e3967a16577a110a9980b1,advanced/path-operation-advanced-configuration.md#custom-openapi-path-operation-schema,Path Operation Advanced Configuration,"The dictionary in `openapi_extra` will be deeply merged with the automatically generated OpenAPI schema for the *path operation*.  So, you could add additional data to the automatically generated schema.  For example, you could decide to read and validate the request with your own code, without usin",tutorial/body.md,,
nl-04,natural-language,how do I validate request body with Pydantic,2,761d8817947680beee2317c4719bdca04cdd9e0441e3baa9dd7a392e8ff0f3f2,advanced/path-operation-advanced-configuration.md#custom-openapi-content-type,Path Operation Advanced Configuration,"Then we use the request directly, and extract the body as `bytes`. This means that FastAPI won't even try to parse the request payload as JSON.  And then in our code, we parse that YAML content directly, and then we are again using the same Pydantic model to validate the YAML content:  //// tab | Py",tutorial/body.md,,
nl-04,natural-language,how do I validate request body with Pydantic,3,5d88689b15537f20280aebe577191735c49a50632055aa2eb959aa4bd172089d,tutorial/body-nested-models.md#attributes-with-lists-of-submodels,Body - Nested Models,"You can also use Pydantic models as subtypes of `list`, `set`, etc.:  {* ../../docs_src/body_nested_models/tutorial006_py310.py hl[18] *}  This will expect (convert, validate, document, etc.) a JSON body like:  ```JSON hl_lines=""11"" {     ""name"": ""Foo"",     ""description"": ""The pretender"",     ""price",tutorial/body.md,1,1
nl-04,natural-language,how do I validate request body with Pydantic,4,1e70915b1358c10903a87284973d1e0e3fec32f91776a7c22652d10e2dc2196c,how-to/custom-request-and-route.md#accessing-the-request-body-in-an-exception-handler,Custom Request and APIRoute class,"/// tip  To solve this same problem, it's probably a lot easier to use the `body` in a custom handler for `RequestValidationError` ([Handling Errors](../tutorial/handling-errors.md#use-the-requestvalidationerror-body){.internal-link target=_blank}).  But this example is still valid and it shows how ",tutorial/body.md,1,1
nl-04,natural-language,how do I validate request body with Pydantic,5,f055388435116a884704685cbdfae12205da8e4247040218dde4a37a38cb4eaf,tutorial/testing.md#extended-testing-file,Testing,"You could then update `test_main.py` with the extended tests:  {* ../../docs_src/app_testing/app_b/test_main.py *}  Whenever you need the client to pass information in the request and you don't know how to, you can search (Google) how to do it in `httpx`, or even how to do it with `requests`, as HTT",tutorial/body.md,,
nl-05,natural-language,how do I run slow operations without blocking a request,1,877aa0c97948121ac64d73c53be9ff9bad38313575328fb19cdbf68e8ee7a807,tutorial/background-tasks.md#background-tasks,Background Tasks,"You can define background tasks to be run *after* returning a response.  This is useful for operations that need to happen after a request, but that the client doesn't really have to be waiting for the operation to complete before receiving the response.  This includes, for example:  * Email notific",tutorial/background-tasks.md,1,1
nl-05,natural-language,how do I run slow operations without blocking a request,2,7d3b5863225be6f85b629d68f68a1ce325ae9c6d2aea8383db55cec5461dbac9,async.md#very-technical-details,Concurrency and async / await,"/// warning  You can probably skip this.  These are very technical details of how **FastAPI** works underneath.  If you have quite some technical knowledge (coroutines, threads, blocking, etc.) and are curious about how FastAPI handles `async def` vs normal `def`, go ahead.  ///",tutorial/background-tasks.md,,
nl-05,natural-language,how do I run slow operations without blocking a request,3,fcce55efecf74fdf899ed498c91fcd6d9af7b0cb59f699cc639f7a025bf3ced1,tutorial/path-operation-configuration.md#deprecate-a-path-operation,Path Operation Configuration,"If you need to mark a *path operation* as <abbr title=""obsolete, recommended not to use it"">deprecated</abbr>, but without removing it, pass the parameter `deprecated`:  {* ../../docs_src/path_operation_configuration/tutorial006.py hl[16] *}  It will be clearly marked as deprecated in the interactiv",tutorial/background-tasks.md,,
nl-05,natural-language,how do I run slow operations without blocking a request,4,89a49c91d181bd31d312dbbdd9cb4fc6d8422ae12b50ddb5549abf62d5a68fb4,advanced/events.md#use-case,Lifespan Events,"Let's start with an example **use case** and then see how to solve it with this.  Let's imagine that you have some **machine learning models** that you want to use to handle requests. 🤖  The same models are shared among requests, so, it's not one model per request, or one per user or something simil",tutorial/background-tasks.md,,
nl-05,natural-language,how do I run slow operations without blocking a request,5,aec54a2ba678529b1b9fb23cc6c465a35f97e6d7ad966644827cbb00e45b3c77,tutorial/middleware.md#middleware,Middleware,"You can add middleware to **FastAPI** applications.  A ""middleware"" is a function that works with every **request** before it is processed by any specific *path operation*. And also with every **response** before returning it.  * It takes each **request** that comes to your application. * It can the",tutorial/background-tasks.md,,
nl-06,natural-language,how do I protect routes with OAuth2 password flow,1,ebc09652577e0922a86399b2e2babd9fb5aa67873d0cde3bd6cd1f3cabc94b1b,tutorial/security/first-steps.md#the-password-flow,Security - First Steps,"Now let's go back a bit and understand what is all that.  The `password` ""flow"" is one of the ways (""flows"") defined in OAuth2, to handle security and authentication.  OAuth2 was designed so that the backend or API could be independent of the server that authenticates the user.  But in this case, th",tutorial/security/oauth2-jwt.md,,
nl-06,natural-language,how do I protect routes with OAuth2 password flow,2,98a5c4e5b6316f4368aa7011700343ffecb434452be0e1facfa7f42029f3ea42,tutorial/security/oauth2-jwt.md#recap,"OAuth2 with Password (and hashing), Bearer with JWT tokens","You can learn more in the **Advanced User Guide** about how to use OAuth2 ""scopes"", for a more fine-grained permission system, following these same standards. OAuth2 with scopes is the mechanism used by many big authentication providers, like Facebook, Google, GitHub, Microsoft, Twitter, etc. to aut",tutorial/security/oauth2-jwt.md,1,1
nl-06,natural-language,how do I protect routes with OAuth2 password flow,3,de8f3d67234f89e38373a732c7405506c0bf06e7b5c9c00927d28b60232b8c05,tutorial/security/oauth2-jwt.md#oauth2-with-password-and-hashing-bearer-with-jwt-tokens,"OAuth2 with Password (and hashing), Bearer with JWT tokens","Now that we have all the security flow, let's make the application actually secure, using <abbr title=""JSON Web Tokens"">JWT</abbr> tokens and secure password hashing.  This code is something you can actually use in your application, save the password hashes in your database, etc.  We are going to st",tutorial/security/oauth2-jwt.md,1,1
nl-06,natural-language,how do I protect routes with OAuth2 password flow,4,9a0215a658b139cf74ad9e1b9c4526775df07d12d20aa2d1bd2cecb0b31d17de,advanced/security/oauth2-scopes.md#about-third-party-integrations,OAuth2 scopes,"In this example we are using the OAuth2 ""password"" flow.  This is appropriate when we are logging in to our own application, probably with our own frontend.  Because we can trust it to receive the `username` and `password`, as we control it.  But if you are building an OAuth2 application that others",tutorial/security/oauth2-jwt.md,,
nl-06,natural-language,how do I protect routes with OAuth2 password flow,5,8993fc0021b0f7b3c3f26c7699980ffbcd89c0dd5a0364de783d78c8436bbe1a,advanced/security/oauth2-scopes.md#global-view,OAuth2 scopes,"First, let's quickly see the parts that change from the examples in the main **Tutorial - User Guide** for [OAuth2 with Password (and hashing), Bearer with JWT tokens](../../tutorial/security/oauth2-jwt.md){.internal-link target=_blank}. Now using OAuth2 scopes:  {* ../../docs_src/security/tutorial0",tutorial/security/oauth2-jwt.md,,
nl-07,natural-language,how do I organize a large FastAPI project into multiple files,1,32f4d6305183799b1d2a8c8e79170316709d5bb5f48efc760720b0ae5175bc11,virtual-environments.md#create-a-project,Virtual Environments,"First, create a directory for your project.  What I normally do is that I create a directory named `code` inside my home/user directory.  And inside of that I create one directory per project.  <div class=""termy"">  ```console // Go to the home directory $ cd // Create a directory for all your code p",tutorial/bigger-applications.md,,
nl-07,natural-language,how do I organize a large FastAPI project into multiple files,2,a21a9edcda0752dfc17030e3353dba2eca25ee28fad527333ebe925b6914227e,management.md#owner,Repository Management,"I, <a href=""https://github.com/tiangolo"" target=""_blank"">@tiangolo</a>, am the creator and owner of the FastAPI repository. 🤓  I normally give the final review to each PR before merging them. I make the final decisions on the project, I'm the <a href=""https://en.wikipedia.org/wiki/Benevolent_dictato",tutorial/bigger-applications.md,,
nl-07,natural-language,how do I organize a large FastAPI project into multiple files,3,fb6d94954f91f8b956b47fe316438ae6be7a8b017af5d215c55081dc1af4dbf2,virtual-environments.md#alternatives,Virtual Environments,"This is a simple guide to get you started and teach you how everything works **underneath**.  There are many **alternatives** to managing virtual environments, package dependencies (requirements), projects.  Once you are ready and want to use a tool to **manage the entire project**, packages depende",tutorial/bigger-applications.md,,
nl-07,natural-language,how do I organize a large FastAPI project into multiple files,4,48ab1869eadf27b3e57b853c79b0323400ce8a9258c6da5b4fc7b6ba844d8d67,tutorial/dependencies/global-dependencies.md#dependencies-for-groups-of-path-operations,Global Dependencies,"Later, when reading about how to structure bigger applications ([Bigger Applications - Multiple Files](../../tutorial/bigger-applications.md){.internal-link target=_blank}), possibly with multiple files, you will learn how to declare a single `dependencies` parameter for a group of *path operations*",tutorial/bigger-applications.md,,
nl-07,natural-language,how do I organize a large FastAPI project into multiple files,5,095407ba109b6775bb264e982474591d18c0471d4c20c498be44f142cff4e7b5,tutorial/dependencies/dependencies-in-path-operation-decorators.md#dependencies-for-a-group-of-path-operations,Dependencies in path operation decorators,"Later, when reading about how to structure bigger applications ([Bigger Applications - Multiple Files](../../tutorial/bigger-applications.md){.internal-link target=_blank}), possibly with multiple files, you will learn how to declare a single `dependencies` parameter for a group of *path operations*",tutorial/bigger-applications.md,,
nl-08,natural-language,how do I partially update a resource with PATCH,1,2baf5ca9192590a6a09a54c488a44034aeb99b07c0ee23849957308e59f27296,tutorial/body-updates.md#partial-updates-with-patch,Body - Updates,"You can also use the <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods/PATCH"" class=""external-link"" target=""_blank"">HTTP `PATCH`</a> operation to *partially* update data.  This means that you can send only the data that you want to update, leaving the rest intact.  /// note  `PATCH`",tutorial/body-updates.md,1,1
nl-08,natural-language,how do I partially update a resource with PATCH,2,063bae9c659a2488689efdd2bd748a820aea1061d3f8b8dec8e0ac4c868eed7e,tutorial/sql-databases.md#update-a-hero-with-heroupdate,SQL (Relational) Databases,"We can **update a hero**. For this we use an HTTP `PATCH` operation.  And in the code, we get a `dict` with all the data sent by the client, **only the data sent by the client**, excluding any values that would be there just for being the default values. To do it we use `exclude_unset=True`. This is",tutorial/body-updates.md,,
nl-08,natural-language,how do I partially update a resource with PATCH,3,5c1d53bf11860ec04bef5adbcf1f2dec5db08e1d37d7358d44b33b545038dec0,tutorial/middleware.md#other-middlewares,Middleware,"You can later read more about other middlewares in the [Advanced User Guide: Advanced Middleware](../advanced/middleware.md){.internal-link target=_blank}.  You will read about how to handle <abbr title=""Cross-Origin Resource Sharing"">CORS</abbr> with a middleware in the next section.",tutorial/body-updates.md,,
nl-08,natural-language,how do I partially update a resource with PATCH,4,3b6c591530f4eba84b84b1b6a198931ad2df8de99886871c6430134d61084528,help-fastapi.md#connect-with-the-author,Help FastAPI - Get Help,"* <a href=""https://github.com/tiangolo"" class=""external-link"" target=""_blank"">Follow me on **GitHub**</a>.     * See other Open Source projects I have created that could help you.     * Follow me to see when I create a new Open Source project. * <a href=""https://twitter.com/tiangolo"" class=""external",tutorial/body-updates.md,,
nl-08,natural-language,how do I partially update a resource with PATCH,5,f055388435116a884704685cbdfae12205da8e4247040218dde4a37a38cb4eaf,tutorial/testing.md#extended-testing-file,Testing,"You could then update `test_main.py` with the extended tests:  {* ../../docs_src/app_testing/app_b/test_main.py *}  Whenever you need the client to pass information in the request and you don't know how to, you can search (Google) how to do it in `httpx`, or even how to do it with `requests`, as HTT",tutorial/body-updates.md,,
nl-09,natural-language,how do I test a FastAPI application,1,fd81c6e4fad8a9c7e2a90ba0e5dfd4f5a52d004944c5093d6164319bdddb37fd,advanced/async-tests.md#async-tests,Async Tests,"You have already seen how to test your **FastAPI** applications using the provided `TestClient`. Up to now, you have only seen how to write synchronous tests, without using `async` functions.  Being able to use asynchronous functions in your tests could be useful, for example, when you're querying y",tutorial/testing.md,,
nl-09,natural-language,how do I test a FastAPI application,2,0e5133a4df9a361dbd812d3b96117feee8d6b4a75c25618a8e6c71831f8d75f7,advanced/async-tests.md#httpx,Async Tests,"Even if your **FastAPI** application uses normal `def` functions instead of `async def`, it is still an `async` application underneath.  The `TestClient` does some magic inside to call the asynchronous FastAPI application in your normal `def` test functions, using standard pytest. But that magic doe",tutorial/testing.md,,
nl-09,natural-language,how do I test a FastAPI application,3,1bc074e39335413ebe7a676c928b366ab3ad495904f7e836120ec6974e4dad85,deployment/index.md#deployment-strategies,Deployment,"There are several ways to do it depending on your specific use case and the tools that you use.  You could **deploy a server** yourself using a combination of tools, you could use a **cloud service** that does part of the work for you, or other possible options.  I will show you some of the main con",tutorial/testing.md,,
nl-09,natural-language,how do I test a FastAPI application,4,3b6c591530f4eba84b84b1b6a198931ad2df8de99886871c6430134d61084528,help-fastapi.md#connect-with-the-author,Help FastAPI - Get Help,"* <a href=""https://github.com/tiangolo"" class=""external-link"" target=""_blank"">Follow me on **GitHub**</a>.     * See other Open Source projects I have created that could help you.     * Follow me to see when I create a new Open Source project. * <a href=""https://twitter.com/tiangolo"" class=""external",tutorial/testing.md,,
nl-09,natural-language,how do I test a FastAPI application,5,fd81be6a56f99c7cc4dbc975f8d3619d2d01e897ed73939324cb173db254bb84,advanced/templates.md#more-details,Templates,"For more details, including how to test templates, check <a href=""https://www.starlette.io/templates/"" class=""external-link"" target=""_blank"">Starlette's docs on templates</a>.",tutorial/testing.md,,
nl-10,natural-language,how do I stream a large response without loading it all into memory,1,7eee45b1ebefb927c9fea787f021f3d36ca88da9b905c354f87d698a5369903f,deployment/concepts.md#memory-per-process,Deployments Concepts,"Now, when the program loads things in memory, for example, a machine learning model in a variable, or the contents of a large file in a variable, all that **consumes a bit of the memory (RAM)** of the server.  And multiple processes normally **don't share any memory**. This means that each running p",advanced/custom-response.md,,
nl-10,natural-language,how do I stream a large response without loading it all into memory,2,2ae8eb2a25b468672451c41001cb72367fd2b79c47aea4842f796cb54a4347f7,tutorial/request-files.md#file-parameters-with-uploadfile,Request Files,"Define a file parameter with a type of `UploadFile`:  {* ../../docs_src/request_files/tutorial001_an_py39.py hl[14] *}  Using `UploadFile` has several advantages over `bytes`:  * You don't have to use `File()` in the default value of the parameter. * It uses a ""spooled"" file:     * A file stored in ",advanced/custom-response.md,,
nl-10,natural-language,how do I stream a large response without loading it all into memory,3,32f4d6305183799b1d2a8c8e79170316709d5bb5f48efc760720b0ae5175bc11,virtual-environments.md#create-a-project,Virtual Environments,"First, create a directory for your project.  What I normally do is that I create a directory named `code` inside my home/user directory.  And inside of that I create one directory per project.  <div class=""termy"">  ```console // Go to the home directory $ cd // Create a directory for all your code p",advanced/custom-response.md,,
nl-10,natural-language,how do I stream a large response without loading it all into memory,4,271494d3ca9c974cbd13a614c2a60e8da4a991f7edc3709567da22f488315467,alternatives.md#a-href-https-marshmallow-readthedocs-io-en-stable-class-external-link-target-blank-marshmallow-a,"Alternatives, Inspiration and Comparisons","One of the main features needed by API systems is data ""<abbr title=""also called marshalling, conversion"">serialization</abbr>"" which is taking data from the code (Python) and converting it into something that can be sent through the network. For example, converting an object containing data from a ",advanced/custom-response.md,,
nl-10,natural-language,how do I stream a large response without loading it all into memory,5,cfa0d10f35edf388366b2bf88e49bc8c6a62a9792f8959138f2c5a86f40da0ff,deployment/concepts.md#resource-utilization,Deployments Concepts,"Your server(s) is (are) a **resource**, you can consume or **utilize**, with your programs, the computation time on the CPUs, and the RAM memory available.  How much of the system resources do you want to be consuming/utilizing? It might be easy to think ""not much"", but in reality, you will probably",advanced/custom-response.md,,
nl-11,natural-language,how do I add custom response headers,1,0fdc10d067db9ac0bcae2f5bfb0324686a69c3c27511a41add49220c221b2ad9,advanced/response-headers.md#custom-headers,Response Headers,"Keep in mind that custom proprietary headers can be added <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers"" class=""external-link"" target=""_blank"">using the 'X-' prefix</a>.  But if you have custom headers that you want a client in a browser to be able to see, you need to add them t",advanced/response-headers.md,1,1
nl-11,natural-language,how do I add custom response headers,2,2c228254b1cafd604b79278b96dd529fef5354348752ae208de706d9a6500daa,release-notes.md#0-19-0,Release Notes,* Rename *path operation decorator* parameter `content_type` to `response_class`. PR [#183](https://github.com/tiangolo/fastapi/pull/183).  * Add docs:     * How to use the `jsonable_encoder` in [JSON compatible encoder](https://fastapi.tiangolo.com/tutorial/encoder/).     * How to [Return a Respons,advanced/response-headers.md,,
nl-11,natural-language,how do I add custom response headers,3,77800cd4aba1cb5840023c17a2d9312da2586f12fea9b0b460ee6e660d5b3c66,tutorial/handling-errors.md#add-custom-headers,Handling Errors,"There are some situations in where it's useful to be able to add custom headers to the HTTP error. For example, for some types of security.  You probably won't need to use it directly in your code.  But in case you needed it for an advanced scenario, you can add custom headers:  {* ../../docs_src/ha",advanced/response-headers.md,,
nl-11,natural-language,how do I add custom response headers,4,8f840c8ee8f1620b616941c4da80ad6da2b30266f18e6833e88e1bd960a42205,reference/responses.md#fastapi-responses,"Custom Response Classes - File, HTML, Redirect, Streaming, etc.","There are a couple of custom FastAPI response classes, you can use them to optimize JSON performance.  ::: fastapi.responses.UJSONResponse     options:         members:             - charset             - status_code             - media_type             - body             - background             - ",advanced/response-headers.md,,
nl-11,natural-language,how do I add custom response headers,5,e09b758f01ac7ed33e3b99517c50092e951dcd9337c59a105839bbda6220e9cb,advanced/response-headers.md#use-a-response-parameter,Response Headers,"You can declare a parameter of type `Response` in your *path operation function* (as you can do for cookies).  And then you can set headers in that *temporal* response object.  {* ../../docs_src/response_headers/tutorial002.py hl[1, 7:8] *}  And then you can return any object you need, as you normal",advanced/response-headers.md,1,1
nl-12,natural-language,how do I mount a sub-application at a path prefix,1,cee661103441cc73ae46be694e5ecc1091b0b940a2704aee349fb7625edf3766,advanced/sub-applications.md#technical-details-root-path,Sub Applications - Mounts,"When you mount a sub-application as described above, FastAPI will take care of communicating the mount path for the sub-application using a mechanism from the ASGI specification called a `root_path`.  That way, the sub-application will know to use that path prefix for the docs UI.  And the sub-appli",advanced/sub-applications.md,1,1
nl-12,natural-language,how do I mount a sub-application at a path prefix,2,a24720d7dd14f9dfbd3cc42f9d71c745cd2071d28a93991ec78a9404d3849825,advanced/sub-applications.md#mount-the-sub-application,Sub Applications - Mounts,"In your top-level application, `app`, mount the sub-application, `subapi`.  In this case, it will be mounted at the path `/subapi`:  {* ../../docs_src/sub_applications/tutorial001.py hl[11, 19] *}",advanced/sub-applications.md,1,1
nl-12,natural-language,how do I mount a sub-application at a path prefix,3,70d2e69d73607080551e2e5bd8fbeacd91a7b75a724082b8d02fb5ffa746c8c0,advanced/behind-a-proxy.md#mounting-a-sub-application,Behind a Proxy,"If you need to mount a sub-application (as described in [Sub Applications - Mounts](sub-applications.md){.internal-link target=_blank}) while also using a proxy with `root_path`, you can do it normally, as you would expect.  FastAPI will internally use the `root_path` smartly, so it will just work. ",advanced/sub-applications.md,,
nl-12,natural-language,how do I mount a sub-application at a path prefix,4,2a3019a84cf47539e3fa656f2397f0f1c223deb06c2d73cb66c2eecd7e84484d,advanced/sub-applications.md#sub-application,Sub Applications - Mounts,"Then, create your sub-application, and its *path operations*.  This sub-application is just another standard FastAPI application, but this is the one that will be ""mounted"":  {* ../../docs_src/sub_applications/tutorial001.py hl[11, 14:16] *}",advanced/sub-applications.md,1,1
nl-12,natural-language,how do I mount a sub-application at a path prefix,5,2eedc4ecd381c010b7cbd7a576f673482816b73c667730145910e21e0276d7ef,advanced/sub-applications.md#check-the-automatic-api-docs,Sub Applications - Mounts,"Now, run the `fastapi` command with your file:  <div class=""termy"">  ```console $ fastapi dev main.py  <span style=""color: green;"">INFO</span>:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit) ```  </div>  And open the docs at <a href=""http://127.0.0.1:8000/docs"" class=""external-l",advanced/sub-applications.md,1,1
nl-13,natural-language,how do I write async tests for a FastAPI application,1,fd81c6e4fad8a9c7e2a90ba0e5dfd4f5a52d004944c5093d6164319bdddb37fd,advanced/async-tests.md#async-tests,Async Tests,"You have already seen how to test your **FastAPI** applications using the provided `TestClient`. Up to now, you have only seen how to write synchronous tests, without using `async` functions.  Being able to use asynchronous functions in your tests could be useful, for example, when you're querying y",advanced/async-tests.md,1,1
nl-13,natural-language,how do I write async tests for a FastAPI application,2,bbca14611b55a6987dd3894fcd18b705efe0c270be1fd6aa0b062b832247666e,async.md#write-your-own-async-code,Concurrency and async / await,"I created another library on top of AnyIO, as a thin layer on top, to improve a bit the type annotations and get better **autocompletion**, **inline errors**, etc. It also has a friendly introduction and tutorial to help you **understand** and write **your own async code**: <a href=""https://asyncer.",advanced/async-tests.md,,
nl-13,natural-language,how do I write async tests for a FastAPI application,3,0e5133a4df9a361dbd812d3b96117feee8d6b4a75c25618a8e6c71831f8d75f7,advanced/async-tests.md#httpx,Async Tests,"Even if your **FastAPI** application uses normal `def` functions instead of `async def`, it is still an `async` application underneath.  The `TestClient` does some magic inside to call the asynchronous FastAPI application in your normal `def` test functions, using standard pytest. But that magic doe",advanced/async-tests.md,1,1
nl-13,natural-language,how do I write async tests for a FastAPI application,4,d11096b9c04e9a7536d9e3989baee7197b0426d78d7708ad15d3928de1d6acb5,advanced/async-tests.md#other-asynchronous-function-calls,Async Tests,"As the testing function is now asynchronous, you can now also call (and `await`) other `async` functions apart from sending requests to your FastAPI application in your tests, exactly as you would call them anywhere else in your code.  /// tip  If you encounter a `RuntimeError: Task attached to a di",advanced/async-tests.md,1,1
